park_id,squirrel_id,primary_fur_color,highlights_in_fur_color,color_notes
15.0,C-15-15,2,4,
15.0,C-15-14,2,4,
15.0,C-15-13,2,4,
8.0,B-08-08,2,4,
4.0,A-04-15,2,4,
1.0,A-01-11,2,4,
12.0,B-12-02,4,4,
11.0,B-11-51,4,4,
11.0,B-11-49,4,4,
11.0,B-11-48,4,4,
11.0,B-11-03,4,4,
6.0,A-06-08,4,4,
4.0,A-04-11,4,4,
4.0,A-04-02,4,4,
22.0,D-22-44,2,3,
22.0,D-22-39,2,3,
22.0,D-22-38,2,3,
22.0,D-22-33,2,3,
22.0,D-22-32,2,3,
22.0,D-22-29,2,3,
22.0,D-22-27,2,3,
22.0,D-22-25,2,3,
22.0,D-22-22,2,3,
22.0,D-22-21,2,3,
22.0,D-22-20,2,3,
22.0,D-22-17,2,3,
22.0,D-22-10,2,3,
22.0,D-22-04,2,3,
21.0,D-21-14,2,3,
21.0,D-21-06,2,3,
21.0,D-21-03,2,3,
21.0,D-21-02,2,3,White underbelly
21.0,D-21-01,2,3,
20.0,C-20-26,2,3,
20.0,C-20-25,2,3,
20.0,C-20-24,2,3,
20.0,C-20-19,2,3,
20.0,C-20-14,2,3,
20.0,C-20-10,2,3,
20.0,C-20-05,2,3,
20.0,C-20-03,2,3,
20.0,C-20-02,2,3,
20.0,C-20-01,2,3,
19.0,C-19-11,2,3,
19.0,C-19-07,2,3,
19.0,C-19-06,2,3,
19.0,C-19-05,2,3,
19.0,C-19-04,2,3,
18.0,C-18-01,2,3,
16.0,C-16-02,2,3,
16.0,C-16-01,2,3,Cinnamon streak down back
15.0,C-15-09,2,3,
15.0,C-15-05,2,3,
15.0,C-15-04,2,3,
14.0,C-14-07,2,3,
14.0,C-14-06,2,3,
14.0,C-14-05,2,3,Cinnamon tail
14.0,C-14-04,2,3,
14.0,C-14-03,2,3,
14.0,C-14-02,2,3,
14.0,C-14-01,2,3,
9.0,B-09-23,2,3,
9.0,B-09-22,2,3,
9.0,B-09-21,2,3,
9.0,B-09-20,2,3,
9.0,B-09-18,2,3,
9.0,B-09-17,2,3,
9.0,B-09-13,2,3,
9.0,B-09-12,2,3,
9.0,B-09-11,2,3,
9.0,B-09-10,2,3,
9.0,B-09-09,2,3,
9.0,B-09-08,2,3,
9.0,B-09-07,2,3,
9.0,B-09-06,2,3,
9.0,B-09-05,2,3,
9.0,B-09-04,2,3,
9.0,B-09-03,2,3,
9.0,B-09-02,2,3,
9.0,B-09-01,2,3,
8.0,B-08-07,2,3,Cinnamon tail
7.0,B-07-08,2,3,
3.0,A-03-16,2,3,
3.0,A-03-15,2,3,
3.0,A-03-14,2,3,
3.0,A-03-13,2,3,
3.0,A-03-11,2,3,
3.0,A-03-10,2,3,
3.0,A-03-09,2,3,
3.0,A-03-08,2,3,
3.0,A-03-07,2,3,
3.0,A-03-05,2,3,
3.0,A-03-01,2,3,
2.0,A-02-23,2,3,
2.0,A-02-22,2,3,
2.0,A-02-21,2,3,
2.0,A-02-20,2,3,
2.0,A-02-19,2,3,
2.0,A-02-18,2,3,
2.0,A-02-16,2,3,
2.0,A-02-12,2,3,
2.0,A-02-11,2,3,
2.0,A-02-10,2,3,
2.0,A-02-09,2,3,
2.0,A-02-08,2,3,
2.0,A-02-06,2,3,
2.0,A-02-05,2,3,
2.0,A-02-04,2,3,
2.0,A-02-03,2,3,
2.0,A-02-02,2,3,
1.0,A-01-06,2,3,
1.0,A-01-05,2,3,
22.0,D-22-41,3,3,
22.0,D-22-36,3,3,Reddish tail
22.0,D-22-35,3,3,
22.0,D-22-34,3,3,
22.0,D-22-18,3,3,
8.0,B-08-01,3,3,
9.0,B-09-25,4,3,
9.0,B-09-24,4,3,
9.0,B-09-19,4,3,
9.0,B-09-16,4,3,
9.0,B-09-15,4,3,
9.0,B-09-14,4,3,
6.0,A-06-33,4,3,Chestnut Brown?? May be black with sunlight??
22.0,D-22-42,2,2,
22.0,D-22-37,2,2,
22.0,D-22-11,2,2,
22.0,D-22-09,2,2,
21.0,D-21-13,2,2,
19.0,C-19-09,2,2,
15.0,C-15-10,2,2,
12.0,B-12-12,2,2,
12.0,B-12-11,2,2,
12.0,B-12-10,2,2,
12.0,B-12-09,2,2,
12.0,B-12-08,2,2,
12.0,B-12-07,2,2,
12.0,B-12-06,2,2,
12.0,B-12-05,2,2,
12.0,B-12-04,2,2,
12.0,B-12-03,2,2,
12.0,B-12-01,2,2,
11.0,B-11-59,2,2,
11.0,B-11-58,2,2,
11.0,B-11-57,2,2,
11.0,B-11-56,2,2,
11.0,B-11-55,2,2,
11.0,B-11-54,2,2,
11.0,B-11-53,2,2,
11.0,B-11-52,2,2,
11.0,B-11-50,2,2,
11.0,B-11-47,2,2,
11.0,B-11-46,2,2,
11.0,B-11-45,2,2,
11.0,B-11-44,2,2,
11.0,B-11-43,2,2,
11.0,B-11-42,2,2,
11.0,B-11-41,2,2,
11.0,B-11-40,2,2,
11.0,B-11-39,2,2,
11.0,B-11-38,2,2,
11.0,B-11-37,2,2,
11.0,B-11-36,2,2,
11.0,B-11-35,2,2,
11.0,B-11-34,2,2,
11.0,B-11-33,2,2,
11.0,B-11-32,2,2,
11.0,B-11-31,2,2,
11.0,B-11-30,2,2,
11.0,B-11-29,2,2,
11.0,B-11-28,2,2,
11.0,B-11-27,2,2,
11.0,B-11-26,2,2,
11.0,B-11-25,2,2,
11.0,B-11-24,2,2,
11.0,B-11-23,2,2,
11.0,B-11-22,2,2,
11.0,B-11-21,2,2,
11.0,B-11-20,2,2,
11.0,B-11-19,2,2,
11.0,B-11-18,2,2,
11.0,B-11-17,2,2,
11.0,B-11-16,2,2,
11.0,B-11-15,2,2,
11.0,B-11-14,2,2,
11.0,B-11-13,2,2,
11.0,B-11-12,2,2,
11.0,B-11-11,2,2,
11.0,B-11-10,2,2,
11.0,B-11-09,2,2,
11.0,B-11-08,2,2,
11.0,B-11-07,2,2,
11.0,B-11-06,2,2,
11.0,B-11-05,2,2,
11.0,B-11-04,2,2,
11.0,B-11-02,2,2,
11.0,B-11-01,2,2,
10.0,B-10-12,2,2,
10.0,B-10-11,2,2,
10.0,B-10-09,2,2,
10.0,B-10-04,2,2,
10.0,B-10-03,2,2,
10.0,B-10-02,2,2,
10.0,B-10-01,2,2,
8.0,B-08-02,2,2,
6.0,A-06-34,2,2,
6.0,A-06-32,2,2,
6.0,A-06-31,2,2,
6.0,A-06-30,2,2,
6.0,A-06-29,2,2,
6.0,A-06-28,2,2,
6.0,A-06-27,2,2,
6.0,A-06-26,2,2,
6.0,A-06-25,2,2,
6.0,A-06-24,2,2,
6.0,A-06-23,2,2,
6.0,A-06-22,2,2,
6.0,A-06-21,2,2,
6.0,A-06-20,2,2,
6.0,A-06-19,2,2,
6.0,A-06-18,2,2,
6.0,A-06-17,2,2,
6.0,A-06-16,2,2,
6.0,A-06-15,2,2,
6.0,A-06-14,2,2,
6.0,A-06-13,2,2,
6.0,A-06-12,2,2,
6.0,A-06-11,2,2,
6.0,A-06-10,2,2,
6.0,A-06-09,2,2,
6.0,A-06-07,2,2,
6.0,A-06-06,2,2,
6.0,A-06-05,2,2,
6.0,A-06-04,2,2,
6.0,A-06-03,2,2,
6.0,A-06-02,2,2,
6.0,A-06-01,2,2,
5.0,A-05-28,2,2,
5.0,A-05-27,2,2,
5.0,A-05-26,2,2,
5.0,A-05-25,2,2,
5.0,A-05-24,2,2,
5.0,A-05-23,2,2,
5.0,A-05-22,2,2,
5.0,A-05-21,2,2,
5.0,A-05-20,2,2,
5.0,A-05-19,2,2,
5.0,A-05-18,2,2,
5.0,A-05-17,2,2,
5.0,A-05-16,2,2,
5.0,A-05-15,2,2,
5.0,A-05-14,2,2,
5.0,A-05-13,2,2,
5.0,A-05-12,2,2,
5.0,A-05-11,2,2,
5.0,A-05-10,2,2,
5.0,A-05-09,2,2,
5.0,A-05-08,2,2,
5.0,A-05-07,2,2,
5.0,A-05-06,2,2,
5.0,A-05-05,2,2,
5.0,A-05-04,2,2,
5.0,A-05-03,2,2,
5.0,A-05-02,2,2,
5.0,A-05-01,2,2,
4.0,A-04-14,2,2,
4.0,A-04-10,2,2,
4.0,A-04-07,2,2,
4.0,A-04-06,2,2,
3.0,A-03-06,2,2,
2.0,A-02-17,2,2,
2.0,A-02-14,2,2,
2.0,A-02-07,2,2,
2.0,A-02-01,2,2,
22.0,D-22-36,3,2,Reddish tail
22.0,D-22-19,3,2,
22.0,D-22-16,3,2,
20.0,C-20-06,3,2,
1.0,A-01-08,4,2,
22.0,D-22-44,2,1,
22.0,D-22-43,2,1,
22.0,D-22-39,2,1,
22.0,D-22-38,2,1,
22.0,D-22-32,2,1,
22.0,D-22-30,2,1,
22.0,D-22-29,2,1,
22.0,D-22-28,2,1,
22.0,D-22-26,2,1,
22.0,D-22-25,2,1,
22.0,D-22-24,2,1,
22.0,D-22-23,2,1,
22.0,D-22-22,2,1,
22.0,D-22-21,2,1,
22.0,D-22-20,2,1,
22.0,D-22-17,2,1,
22.0,D-22-15,2,1,
22.0,D-22-13,2,1,
22.0,D-22-12,2,1,
22.0,D-22-10,2,1,
22.0,D-22-03,2,1,
22.0,D-22-02,2,1,
21.0,D-21-12,2,1,
20.0,C-20-21,2,1,
20.0,C-20-17,2,1,
20.0,C-20-16,2,1,White bellies
20.0,C-20-15,2,1,White bellies
20.0,C-20-13,2,1,
20.0,C-20-12,2,1,
20.0,C-20-11,2,1,
20.0,C-20-10,2,1,
20.0,C-20-09,2,1,
20.0,C-20-08,2,1,
20.0,C-20-05,2,1,
20.0,C-20-03,2,1,
20.0,C-20-02,2,1,
19.0,C-19-18,2,1,
19.0,C-19-17,2,1,
19.0,C-19-16,2,1,Lots of white!
19.0,C-19-15,2,1,
19.0,C-19-14,2,1,
19.0,C-19-12,2,1,
19.0,C-19-11,2,1,
19.0,C-19-10,2,1,
19.0,C-19-08,2,1,Very distinct white outlines on ears and ring around tail
19.0,C-19-05,2,1,
19.0,C-19-04,2,1,
19.0,C-19-01,2,1,
15.0,C-15-11,2,1,
14.0,C-14-01,2,1,
4.0,A-04-13,2,1,
4.0,A-04-12,2,1,
4.0,A-04-09,2,1,
4.0,A-04-08,2,1,
4.0,A-04-05,2,1,
4.0,A-04-04,2,1,
4.0,A-04-03,2,1,
4.0,A-04-01,2,1,
3.0,A-03-12,2,1,
3.0,A-03-04,2,1,
3.0,A-03-03,2,1,
3.0,A-03-02,2,1,
2.0,A-02-15,2,1,
2.0,A-02-13,2,1,
1.0,A-01-12,2,1,
1.0,A-01-10,2,1,
1.0,A-01-09,2,1,
1.0,A-01-07,2,1,
1.0,A-01-04,2,1,
1.0,A-01-03,2,1,
1.0,A-01-02,2,1,
1.0,A-01-01,2,1,
22.0,D-22-40,3,1,
22.0,D-22-31,3,1,
22.0,D-22-19,3,1,
22.0,D-22-14,3,1,
22.0,D-22-08,3,1,
22.0,D-22-01,3,1,
20.0,C-20-07,3,1,
20.0,C-20-06,3,1,
2.0,A-02-24,3,1,
